Emisor,Receptor,Grupo,Edición,Mensaje
Lucía,Manuel,Hoguera,3,"Manuel la manita relajada. Manuel la manita, ¿dónde vas?"
Lucía,Marina,Villa montaña,3,Ay mi Manuel. Es que yo le quiero mucho
Marina,Lucía,Villa montaña,3,Pero él no te quiere a ti
Fani,Christopher,Hoguera,1,"Me da pena, pero de la pena ni se come ni se vive"
Andrea,Ismael,Hoguera,1,"Si me cambia por algo peor, me da risa. Estos labios preciosos que yo tengo no pueden besar a Ismael después de haberse besado con ese cuadro."
Rubén,Fani,Villa montaña,1,Tengo palpitaciones en el nabo
Gonzalo , ,Villa playa,1,Mejor salir solo que con un pokemón al lado
Gonzalo , , Villa playa,1,Le ha hecho un apuñalamiento de ingle
Jose ,Adelina ,Hoguera,1,"Después de varias decepciones, decidí elaborar un cuestionario para sintetizar cosas que quería en una pareja. La primera pregunta, ¿perros o gatos?¿Con qué princesa Disney te identificas?¿Sabes hacer buena tortilla?"
Mónica,Andrea,Hoguera,1,"Andrea, permíteme pero hay algo que no entiendo. Quieres que él te de explicacioes por un beso pero tu duermes con Óscar y te parece bien."
Melyssa,Tom Brusse,Hoguera,2,Eres un desgraciado Tom Brusse
Melyssa,Tom Brusse,Hoguera,2,"Para mí acaba de perder todo el valor que tiene una persona, y yo acabo de subir de rango, y soy mejor persona que él."
Melyssa,Tom Brusse,Hoguera,2,Me quiero ir con mi familia. Quiero resguardarme en las personas que sí me quieren de verdad y algún día daré gracias por haber descubierto a la persona que tenía a mi lado Me voy con la cabeza muy alta
Marta,Lester,Hoguera,2,Mis principios están por el suelo pero los recojo y me vuelvo a Canarias
Marta,,Villa montaña,2,Voy a exprimir todo el jugo de Dani a ver qué tal ese jugo
Tom Brusse,,Villa playa,2,"¿Ha habido Sexy, Sexy, Waka, Waka?"
Marta,,Villa montaña,2,Llevo once años con Lester y no le conozco
Marta,,Villa montaña,2,"Madre mía, que sabe poner las tildes y todo"
Marina,,Villa montaña,3,"Quiero verlo conectar con alguien, quiero ponerlo a prueba de verdad. Necesito sentir que lo pierdo"
Jesús,,Hoguera,3,"Me provocan vergüenza estas imágenes, dolor y vergüenza, por su familia y por la gente que la queremos. Ha cruzado el límite de que no se ha respetado ella misma. Si no te respetas a ti misma, ¿de qué vales?, ¿de qué sirves?"
Lucía,,Villa montaña,3,"Me da coraje y me da tristeza que a mí no me tiente nadie porque al final yo vengo aquí también para que él sienta miedo de perderme y si es verdad que me quiere o no me quiere , y al final volvemos a lo mismo: el miedo lo siento yo y él super tranquilo"
Diego,,Villa playa,3,"Hace bien en llorar por el perro, porque como haya un beso que se olvide"
Pablo,Maika,Hoguera,2,Tu me has hecho daño a mi y yo se lo he hecho al oso
Marta,,Villa montaña,2,Que cada cerdo sujete su bellota
Tom Brusse,,Villa playa,2,Yo mentía a Melyssa para no tener que aguantarla
Lola,,Villa montaña,3,"Hombres hay muchos pero , ¿y mi perro?"
Gonzalo ,,Villa playa,1,Ella tiene que valorar entre el jamón y el choped
Andrea,,Villa playa,1,Yo soy una princesa pero en la cama tiro la corona y me vuelvo loca
Gonzalo ,,Villa montaña,1,Es que mueves demasiado las tetas y me mareo
Jesús,,Villa playa,3,"Vaya cacho de mierda soy, me siento asi"
Manuel,,Villa playa ,3,Yo he tenido que aguantar mucho su caracter mucho tiempo
Lola,,Villa montaña,3,Es que el ha decidido ser libre sin una conversación
Lucía,,Villa montaña,3,No me puedes conocer porque nos conocimos ayer